possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss
6_P0009,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.5,0.2,1,true,0.5,center,4,broken play,skip,goal,right,10,IMG_4571.MOV,00:36
6_P0010,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.5,0.4,1,true,1,center,2,perimeter,skip,blocked (GK),right,15,IMG_4572.MOV,00:55
6_P0011,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,shot clock violation,,,,,,,,,0,,,,,,IMG_4577.MOV,00:13
6_P0012,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,steal/interception,14,,,,,,,,1,,,,,,IMG_4579.MOV,00:09
6_P0013,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.6,0.6,1,true,1.5,center,2,perimeter,skip,goal,right,11,IMG_4581.MOV,00:30
6_P0014,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,bad pass / out of bounds,14,,,,,,,,4,,,,,,IMG_4583.MOV,00:29
6_P0015,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,ball under,9,,,,,,,,2,,,,,,IMG_4585.MOV,00:18
6_P0016,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.3,0.4,0,true,0.5,left,2,perimeter,lob,blocked (GK),right,12,IMG_4587.MOV,00:22
6_P0017,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,ball under,13,,,,,,,,1,,,,,,IMG_4587.MOV,00:54
6_P0018,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.5,0.2,1,true,1,center,4,set,tip/deflection,missed,right,10,IMG_4588.MOV,00:33
6_P0019,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.5,0.1333333333,1,true,0.5,center,1,broken play,tip/deflection,goal,right,11,IMG_4590.MOV,00:05
6_P0020,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.25,0.1333333333,1,true,0.5,left,4,perimeter,standard,post/bar,right,11,IMG_4592.MOV,00:21
6_P0021,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.3,0.3333333333,1,true,1,left,0,counter,standard,blocked (GK),right,11,IMG_4594.MOV,00:11
6_P0022,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,bad pass / out of bounds,15,,,,,,,,2,,,,,,IMG_4596.MOV,00:10
6_P0023,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,turnover,bad pass / out of bounds,15,,,,,,,,4,,,,,,IMG_4597.MOV,00:26
6_P0024,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.6,0.2666666667,1,true,1.5,right,4,set,backhand,missed,right,10,IMG_4600.MOV,00:18
6_P0025,6,carlsbad,ca_1,CA Club,CA Club,,,6v6,shot,,,,0.6,0.4,1,true,1,right,5,perimeter,standard,blocked (GK),right,15,IMG_4611.MOV,00:23
