possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss,x,y,outcome,handed,distance_m,angle_deg,angle_deg_signed,video_timecode,source_video_id
4_P0009,4,usa_academy,brown,ODP Academy,College,2,,6v6,shot,,,,0.45,0.1333333333,1,true,1,left,1,counter,standard,blocked (GK),right,10,IMG_2613.MOV,00:15,0.45,0.1333333333,blocked (GK),right,2.236,-26.57,-26.57,15.0,IMG_2613.MOV
4_P0010,4,usa_academy,brown,ODP Academy,College,2,,6v6,turnover,steal/interception,9,,,,,nan,,,6,nan,,,,,IMG_2615.MOV,00:23,,,,,,,,23.0,IMG_2615.MOV
4_P0011,4,usa_academy,brown,ODP Academy,College,2,,6v6,turnover,ball under,9,,,,,nan,,,7,nan,,,,,IMG_2617.MOV,00:28,,,,,,,,28.0,IMG_2617.MOV
4_P0012,4,usa_academy,brown,ODP Academy,College,2,,6v6,shot,,,,0.4,0.4,1,true,0.5,left,4,perimeter,skip,goal,right,2,IMG_2618.MOV,00:19,0.4,0.4,goal,right,6.325,-18.43,-18.43,19.0,IMG_2618.MOV
4_P0013,4,usa_academy,brown,ODP Academy,College,3,,6v6,turnover,steal/interception,3,,,,,nan,,,7,nan,,,,,IMG_2621.MOV,00:16,,,,,,,,16.0,IMG_2621.MOV
4_P0014,4,usa_academy,brown,ODP Academy,College,3,,6v6,shot,,,,0.45,0.2666666667,0,true,0.5,center,3,perimeter,standard,post/bar,right,9,IMG_2622.MOV,00:43,0.45,0.2666666667,post/bar,right,4.123,-14.04,-14.04,43.0,IMG_2622.MOV
4_P0015,4,usa_academy,brown,ODP Academy,College,3,,6v6,shot,,,,0.6,0.2666666667,2,true,0.5,right,6,set,standard,field block,right,12,IMG_2624.MOV,00:28,0.6,0.2666666667,field block,right,4.472,26.57,26.57,28.0,IMG_2624.MOV
4_P0016,4,usa_academy,brown,ODP Academy,College,3,,6v6,turnover,offensive foul (contra),2,,,,,nan,,,4,nan,,,,,IMG_2625.MOV,00:36,,,,,,,,36.0,IMG_2625.MOV
4_P0017,4,usa_academy,brown,ODP Academy,College,3,,6v6,shot,,,,0.75,0.4,1,true,0.5,right,1,perimeter,lob,post/bar,right,3,IMG_2626.MOV,00:45,0.75,0.4,post/bar,right,7.81,39.81,39.81,45.0,IMG_2626.MOV
4_P0018,4,usa_academy,brown,ODP Academy,College,3,,6v7,shot,,,,0.5,1,0,false,,,0,other,standard,goals,right,1,IMG_2628.MOV,00:14,0.5,1.0,goals,right,15.0,0.0,0.0,14.0,IMG_2628.MOV
